"LUType","LUItem","LUDescription"
"112","1  ","Char Update                                       "
"112","10 ","Transfer                                          "
"112","11 ","New Parcel                                        "
"112","12 ","Levy Code                                         "
"112","13 ","Preliminary Plat                                  "
"112","14 ","NAME/ADDRESS                                      "
"112","15 ","CONDOMINIUM                                       "
"112","16 ","CORRECTION                                        "
"112","17 ","DRAIN/FFIRE/ABATEMNT                              "
"112","18 ","MISC RECEIVABLE                                   "
"112","19 ","NEW CONSTRUCTION                                  "
"112","2  ","Board Order                                       "
"112","20 ","OTHER TAX CORRECTION                              "
"112","21 ","REVALUE                                           "
"112","22 ","SR CIT EXEMPTION                                  "
"112","23 ","ACCOUNT STATUS                                    "
"112","24 ","TAX STATUS                                        "
"112","25 ","MIGRATION                                         "
"112","26 ","MIGRATION                                         "
"112","3  ","New Plat                                          "
"112","4  ","Seg Merge                                         "
"112","5  ","Legal Change                                      "
"112","6  ","Kill                                              "
"112","7  ","Kill                                              "
"112","8  ","Unkill                                            "
"112","9  ","Unkill                                            "
"118","102","Barn, General Purpose (102)                       "
"118","103","Barn, Special Purpose (103)                       "
"118","106","Controlled Atmosphere Storage (106)               "
"118","113","Loafing Shed (113)                                "
"118","114","Milkhouse Shed (114)                              "
"118","132","Individual Livestock Shelter (132)                "
"118","133","Prefabricated Storage Shed (133)                  "
"118","135","Greenhouse, Hoop, Arch-Rib, Small (135)           "
"118","141","Greenhouse, Hoop, Arch-Rib, Medium (141)          "
"118","152","Residential Garage - Detached (152)               "
"118","156","Alternative School (156)                          "
"118","157","Maintenance Storage Building (157)                "
"118","162","Outbuildings (162)                                "
"118","163","Site Improvements (163)                           "
"118","173","Church Educational Wing (173)                     "
"118","175","Skating Rink, Ice (175)                           "
"118","176","Skating Rink, Roller (176)                        "
"118","185","Truck Wash (185)                                  "
"118","186","Light Commercial Manufacturing Utility Bldg (186) "
"118","300","APARTMENT (300)                                   "
"118","301","ARMORY (301)                                      "
"118","302","AUDITORIUM (302)                                  "
"118","303","AUTOMOBILE SHOWROOM (303)                         "
"118","304","BANK (304)                                        "
"118","305","BARN (305)                                        "
"118","306","BOWLING ALLEY (306)                               "
"118","308","CHURCH WITH SUNDAY SCHOOL (308)                   "
"118","309","CHURCH (309)                                      "
"118","310","CITY CLUB (310)                                   "
"118","311","CLUBHOUSE (311)                                   "
"118","313","CONVALESCENT HOSPITAL (313)                       "
"118","314","COUNTRY CLUB (314)                                "
"118","315","CREAMERY (315)                                    "
"118","316","DAIRY (316)                                       "
"118","317","DAIRY SALES BUILDING (317)                        "
"118","318","DEPARTMENT STORE (318)                            "
"118","319","DISCOUNT STORE (319)                              "
"118","320","DISPENSARY (320)                                  "
"118","321","DORMITORY (321)                                   "
"118","322","FIRE STATION (STAFFED) (322)                      "
"118","323","FRATERNAL BUILDING (323)                          "
"118","324","FRATERNITY HOUSE (324)                            "
"118","326","GARAGE, STORAGE (326)                             "
"118","327","GOVERNMENT BUILDING (327)                         "
"118","328","HANGAR, STORAGE (328)                             "
"118","329","HANGAR, MAINTENANCE & OFFICE (329)                "
"118","330","HOME FOR THE ELDERLY (330)                        "
"118","331","HOSPITAL (331)                                    "
"118","332","HOTEL, LIMITED (332)                              "
"118","335","JAIL-CORRECTIONAL FACILITY (335)                  "
"118","336","LAUNDROMAT (336)                                  "
"118","337","LIBRARY, PUBLIC (337)                             "
"118","338","LOFT (338)                                        "
"118","339","LUMBER STORAGE SHED, HORIZONTAL (339)             "
"118","340","MARKET (340)                                      "
"118","341","MEDICAL OFFICE (341)                              "
"118","342","MORTUARY (342)                                    "
"118","343","MOTEL, LIMITED (343)                              "
"118","344","OFFICE BUILDING (344)                             "
"118","345","PARKING STRUCTURE (345)                           "
"118","348","Residence (348)                                   "
"118","349","FAST FOOD RESTAURANT (349)                        "
"118","350","RESTAURANT, TABLE SERVICE (350)                   "
"118","351","Single-Family Residence (351)                     "
"118","352","MULTIPLE RESIDENCE (LOW RISE) (352)               "
"118","353","RETAIL STORE (353)                                "
"118","355","Fine Arts & Crafts Building (355)                 "
"118","356","Classroom (356)                                   "
"118","358","Gymnasium (School) (358)                          "
"118","365","ELEMENTARY SCHOOL (ENTIRE) (365)                  "
"118","366","JUNIOR HIGH SCHOOL (ENTIRE) (366)                 "
"118","368","Classroom (College) (368)                         "
"118","369","Commons (College) (369)                           "
"118","374","Multi-Purp Bldg (College) (374)                   "
"118","377","COLLEGE (ENTIRE) (377)                            "
"118","378","STABLE (378)                                      "
"118","379","THEATER, LIVE STAGE (379)                         "
"118","380","THEATER, CINEMA (380)                             "
"118","381","VETERINARY HOSPITAL (381)                         "
"118","384","BARBER SHOP (384)                                 "
"118","386","MINI-WAREHOUSE (386)                              "
"118","387","TRANSIT WAREHOUSE (387)                           "
"118","388","UNDERGROUND PARKING STRUCTURE (388)               "
"118","390","Lumber Storage Bldg., Vert. (390)                 "
"118","391","MATERIAL STORAGE BUILDING (391)                   "
"118","392","INDUSTRIAL ENGINEERING BUILDING (392)             "
"118","405","SKATING RINK (405)                                "
"118","406","STORAGE WAREHOUSE (406)                           "
"118","407","WAREHOUSE, DISTRIBUTION (407)                     "
"118","408","Service Station (408)                             "
"118","409","T-HANGAR (409)                                    "
"118","410","AUTOMOTIVE CENTER (410)                           "
"118","412","NEIGHBORHOOD SHOPPING CENTER (412)                "
"118","413","COMMUNITY SHOPPING CENTER (413)                   "
"118","414","REGIONAL SHOPPING CENTER (414)                    "
"118","416","TENNIS CLUB, INDOOR (416)                         "
"118","417","HANDBALL-RACQUETBALL CLUB (417)                   "
"118","418","HEALTH CLUB (418)                                 "
"118","419","CONVENIENCE MARKET (419)                          "
"118","423","MINI-LUBE GARAGE (423)                            "
"118","424","GROUP CARE HOME (424)                             "
"118","426","DAY CARE CENTER (426)                             "
"118","427","FIRE STATION (VOLUNTEER) (427)                    "
"118","428","HORSE ARENA (428)                                 "
"118","431","OUTPATIENT SURGICAL CENTER (431)                  "
"118","432","RESTROOM BUILDING (432)                           "
"118","434","Car Wash - Self Serve (434)                       "
"118","435","Car Wash - Drive Thru (435)                       "
"118","436","Car Wash - Automatic (436)                        "
"118","441","COCKTAIL LOUNGE (441)                             "
"118","442","BAR/TAVERN (442)                                  "
"118","444","DENTAL OFFICE/CLINIC (444)                        "
"118","446","SUPERMARKET (446)                                 "
"118","447","COLD STORAGE FACILITIES (447)                     "
"118","451","MULTIPLE RESIDENCE (SENIOR CITIZEN) (451)         "
"118","453","INDUSTRIAL FLEX BUILDINGS (453)                   "
"118","454","Shell, Industrial (454)                           "
"118","455","AUTO DEALERSHIP, COMPLETE (455)                   "
"118","456","Tool Shed (456)                                   "
"118","458","WAREHOUSE DISCOUNT STORE (458)                    "
"118","459","MIXED RETAIL W/RES. UNITS (459)                   "
"118","460","Shell, Neigh. Shop. Ctr. (460)                    "
"118","461","Shell, Community Shop. Ctr. (461)                 "
"118","462","Shell, Regional Shop. Ctr. (462)                  "
"118","465","Food Booth - Prefabricated (465)                  "
"118","466","Boat Storage Shed (466)                           "
"118","467","Boat Storage Building (467)                       "
"118","468","SHED, MATERIAL STORAGE (468)                      "
"118","470","EQUIPMENT (SHOP) BUILDING (470)                   "
"118","471","LIGHT COMMERCIAL UTILITY BUILDING (471)           "
"118","472","EQUIPMENT SHED (472)                              "
"118","473","Material Shelter (473)                            "
"118","475","POULTRY HOUSE-FLOOR OPERATION (475)               "
"118","477","FARM UTILITY BUILDING (477)                       "
"118","479","Farm Utility Storage Shed (479)                   "
"118","481","MUSEUM (481)                                      "
"118","482","CONVENTION CENTER (482)                           "
"118","483","FITNESS CENTER (483)                              "
"118","484","HIGH SCHOOL (ENTIRE) (484)                        "
"118","485","NATATORIUM (485)                                  "
"118","486","FIELD HOUSES (486)                                "
"118","487","VOCATIONAL SCHOOLS (487)                          "
"118","489","JAIL - POLICE STATION (489)                       "
"118","490","KENNELS (490)                                     "
"118","491","GOVERNMENT COMMUNITY SERVICE BUILDING (491)       "
"118","492","Shell, Office (492)                               "
"118","494","INDUSTRIAL LIGHT MANUFACTURING (494)              "
"118","495","INDUSTRIAL HEAVY MANUFACTURING (495)              "
"118","496","LABORATORIES (496)                                "
"118","497","COMPUTER CENTER (497)                             "
"118","498","BROADCAST FACILITIES (498)                        "
"118","499","Dry Cleaners-Laundry (499)                        "
"118","508","Car Wash - Canopy (508)                           "
"118","511","Drug Store (511)                                  "
"118","513","Regional Discount Shopping Center (513)           "
"118","514","Community Center (514)                            "
"118","515","Casino (515)                                      "
"118","525","MINI WAREHOUSE, HI-RISE (525)                     "
"118","526","Service Garage Shed (526)                         "
"118","527","MUNICIPAL SERVICE GARAGE (527)                    "
"118","528","GARAGE, SERVICE REPAIR (528)                      "
"118","529","SNACK BAR (529)                                   "
"118","530","CAFETERIA (530)                                   "
"118","531","MINI-MART CONVENIENCE STORE (531)                 "
"118","532","FLORIST SHOP (532)                                "
"118","533","WAREHOUSE FOOD STORE (533)                        "
"118","534","WAREHOUSE SHOWROOM STORE (534)                    "
"118","537","Lodge (537)                                       "
"118","551","ROOMING HOUSE (551)                               "
"118","571","Passenger Terminal (571)                          "
"118","573","ARCADE (573)                                      "
"118","574","VISITOR CENTER (574)                              "
"118","578","Mini-Bank (578)                                   "
"118","581","POST OFFICE - MAIN(581)                           "
"118","582","POST OFFICE - BRANCH(582)                         "
"118","583","POST OFFICE - MAIL PROCESSING(583)                "
"118","584","Mega Warehouse (584)                              "
"118","587","Shell, Multiple Residence (587)                   "
"118","589","MULTIPLE RESIDENCES ASSISTED LIVING (LOW RISE)    "
"118","594","Hotel, Full Service (594)                         "
"118","595","Hotel, Limited Service (595)                      "
"118","596","Shell, Apartment (596)                            "
"118","597","Mixed Retail w/ Office Units (597)                "
"118","600","Administrative Office (600)                       "
"118","700","Mall Anchor Department Store (700)                "
"118","701","BASEMENT, FINISHED (701)                          "
"118","702","BASEMENT, SEMIFINISHED (702)                      "
"118","703","BASEMENT, UNFINISHED (703)                        "
"118","704","BASEMENT, DISPLAY (704)                           "
"118","705","BASEMENT, OFFICE (705)                            "
"118","706","BASEMENT, PARKING (706)                           "
"118","707","BASEMENT, RESIDENT LIVING (707)                   "
"118","708","BASEMENT, STORAGE (708)                           "
"118","709","BASEMENT, RETAIL (709)                            "
"118","710","MULTIPLE RESIDENCE, RETIREMENT COMMUNITY COMPLEX  "
"118","718","Banquet Hall (718)                                "
"118","782","Shell, Elderly Assist. Multi. Res. (782)          "
"118","783","Shell, Retirement Community Complex (783)         "
"118","784","Shell, Multiple Res. (Sen. Citizen) (784)         "
"118","810","WAREHOUSE OFFICE (810)                            "
"118","820","OPEN OFFICE (820)                                 "
"118","830","MIXED USE RETAIL (830)                            "
"118","840","MIXED USE OFFICE (840)                            "
"118","841","HOTEL, FULL SERVICE (841)                         "
"118","842","HOTEL, SUITE (842)                                "
"118","843","MOTEL, FULL SERVICE (843)                         "
"118","844","MOTEL, SUITE (844)                                "
"118","845","CONDO, OFFICE (845)                               "
"118","846","CONDO, RETAIL (846)                               "
"118","847","MIXED USE-OFFICE CONDO (847)                      "
"118","848","MIXED USE-RETAIL CONDO (848)                      "
"118","849","CONDO, STORAGE (849)                              "
"118","850","CONDO, PARKING STRUCTURE (850)                    "
"118","851","UNDERGROUND CONDO PARKING (851)                   "
"118","852","CONDO HOTEL, FULL SERVICE (852)                   "
"118","853","CONDO HOTEL, LIMITED SERVICE (853)                "
"118","860","LINE RETAIL (860)                                 "
"118","984","Luxury Apartment (984)                            "
"118","985","Senior Center (985)                               "
"119","751","BALCONY (751)                                     "
"119","760","MEZZANINES-DISPLAY (760)                          "
"119","761","MEZZANINES-OFFICE (761)                           "
"119","763","MEZZANINES-STORAGE (763)                          "
"122","1  ","Active                                            "
"122","10 ","Appeal Filed                                      "
"122","11 ","Hearing Scheduled                                 "
"122","12 ","Hearing Completed                                 "
"122","13 ","Board Order Issued                                "
"122","14 ","Ready to Mail                                     "
"122","15 ","Received                                          "
"122","16 ","Assigned                                          "
"122","17 ","Case Prepared                                     "
"122","18 ","Case Reviewed                                     "
"122","19 ","Submitted to Board                                "
"122","2  ","Withdrawn                                         "
"122","20 ","Stipulation Pending                               "
"122","21 ","Stipulation Finalized                             "
"122","22 ","Stipulation Voided                                "
"122","23 ","Contact                                           "
"122","24 ","Other                                             "
"122","25 ","Decision Review Pending                           "
"122","26 ","Stipulation Prepared                              "
"122","27 ","Stipulation Reviewed                              "
"122","28 ","Fast Track                                        "
"122","3  ","Void                                              "
"122","30 ","Hearing Cancelled                                 "
"122","31 ","Hearing Rescheduled                               "
"122","32 ","Decision Cancelled Pending                        "
"122","33 ","Decision Changed Pending                          "
"122","34 ","AcctNbr Changed                                   "
"122","35 ","Amended                                           "
"122","36 ","Stipulation Reviewed Voided                       "
"122","37 ","Stipulation Pending Voided                        "
"122","38 ","Case Order Review Voided                          "
"122","39 ","Case File Transferred Voided                      "
"122","4  ","Denied                                            "
"122","40 ","Case Reviewed Voided                              "
"122","41 ","Case Prepared Voided                              "
"122","42 ","Stipulation Finalized Voided                      "
"122","43 ","Stipulation Prepared Voided                       "
"122","44 ","Set StatusAssmtReview to Active                   "
"122","45 ","Petition Reactivated by the Board                 "
"122","46 ","Appellant Info                                    "
"122","47 ","Appeal to State                                   "
"122","48 ","TRC                                               "
"122","49 ","Amended Appeal Record                             "
"122","50 ","Change Assignment                                 "
"122","51 ","Threshold Reviewed                                "
"122","52 ","Undeliverable email                               "
"122","53 ","TP Letter of Exception                            "
"122","54 ","TP Response to Exception                          "
"122","55 ","BTA Scheduling                                    "
"122","56 ","Order Denying Petition for Review                 "
"122","57 ","Exception Acknowledgement Letter                  "
"122","58 ","Withdrawal Letter                                 "
"122","59 ","Direct Appeal Request                             "
"122","60 ","Reconvene Request                                 "
"122","61 ","Response to Reconvene Request                     "
"122","62 ","Taxpayer Signed Stipulation                       "
"122","63 ","Order Denying Exceptions To Proposed Decision     "
"122","64 ","TP New Evidence                                   "
"122","65 ","TP Opening Brief/Statement                        "
"122","66 ","TP Rebuttal Evidence                              "
"122","67 ","TP Reply Brief/Statement                          "
"122","68 ","TP Effort to Confer                               "
"122","69 ","TP Evidence Previously Submitted to BOE           "
"122","7  ","Binder Prepared                                   "
"122","8  ","Decision Review Complete                          "
"122","9  ","Completed                                         "
"124","1  ","Assessed Value                                    "
"124","2  ","Appraised Value                                   "
"124","3  ","Other                                             "
"125","1  ","Appealed Value                                    "
"125","2  ","Assessor Recommended Value                        "
"125","3  ","Board Order Value                                 "
"125","4  ","Taxpayer Recommended                              "
"125","5  ","Stipulated                                        "
"128","1  ","Comparable Property Sales                         "
"128","10 ","Conflict of Interest: Uphold                      "
"128","11 ","Improvement Obsolescence                          "
"128","12 ","Value-Limiting Location                           "
"128","13 ","Documented Non-Perc                               "
"128","14 ","Neighborhood Nuisance                             "
"128","15 ","Within Market: Uphold                             "
"128","16 ","Total Value Supported: Uphold                     "
"128","17 ","Value Allocated to Land, Imp Low                  "
"128","18 ","Insufficient Evidence: Uphold                     "
"128","19 ","Evidence Not Persuasive                           "
"128","2  ","Purchase Price                                    "
"128","20 ","Other                                             "
"128","3  ","Land Features                                     "
"128","4  ","Deferred Maintenance                              "
"128","5  ","Cost to Cure                                      "
"128","6  ","Expense to Develop                                "
"128","7  ","Cost Approach to Value                            "
"128","8  ","Income Analysis                                   "
"128","9  ","Incorrect Characteristic                          "
"129","1  ","EMV                                               "
"129","15 ","EMV/ADJ                                           "
"129","16 ","RCN/ADJ                                           "
"129","17 ","RCNLD/ADJ                                         "
"129","2  ","RCN                                               "
"129","3  ","RCNLD                                             "
"129","4  ","PREV APPR                                         "
"129","5  ","APPR                                              "
"130","1  ","EMV                                               "
"130","13 ","INCOME                                            "
"130","14 ","MARKET                                            "
"130","2  ","RCN                                               "
"130","20 ","Reconciled                                        "
"130","21 ","Income Override                                   "
"130","23 ","INCOME APT                                        "
"130","24 ","GIM VAL                                           "
"130","25 ","COMP SALES                                        "
"130","26 ","WEIGHTED                                          "
"130","27 ","Weighted Override                                 "
"130","3  ","RCNLD                                             "
"130","4  ","PREV APPR                                         "
"130","5  ","APPR                                              "
"131","1  ","SegMerge                                          "
"131","11 ","New Plat                                          "
"131","12 ","New Imp                                           "
"131","13 ","Remodel                                           "
"131","14 ","New Accy                                          "
"131","15 ","Transfer                                          "
"131","16 ","Revalue-CharUpdt                                  "
"131","2  ","Assmt/CharRevw                                    "
"131","3  ","Revalue-AnnlUpdt                                  "
"131","4  ","NewConstr                                         "
"131","5  ","Revalue-PhysInsp                                  "
"131","6  ","Other                                             "
"131","7  ","DestroyedProp                                     "
